Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Austria,0.939,-0.203,0.514,1.343,0.986,1.769,1.501,1.531,1.464,0.829,0.628,0.907,2.137,1.582,1.544,0.656,1.373,1.783,1.098,2.409,2.167,2.096,1.741,2.524,2.37,2.315,1.395,2.498
"Azerbaijan, Rep. of",1.012,0.244,0.582,1.184,1.224,1.098,1.401,1.432,-0.147,1.303,0.814,1.488,0.958,0.883,0.78,2.327,0.766,1.474,1.574,1.252,1.672,1.53,1.308,2.24,1.997,2.015,2.061,2.08
"Bahamas, The",0.671,0.008,0.787,0.924,0.619,0.163,0.135,0.856,0.989,0.311,0.455,0.385,0.937,0.842,0.41,0.314,0.363,0.344,0.565,0.883,1.114,1.042,1.331,1.023,1.443,1.611,0.879,1.48
"Bahrain, Kingdom of",0.251,0.695,0.376,1.435,2.055,1.119,1.216,1.552,1.256,1.385,1.065,1.823,1.08,1.329,1.224,2.286,1.431,1.385,1.403,1.694,2.24,1.598,2.08,2.247,2.108,2.027,2.464,2.017
Bangladesh,0.173,0.137,-0.173,0.504,0.78,0.226,0.316,0.398,0.239,0.269,0.592,0.814,0.266,0.093,0.844,0.768,0.144,0.235,0.23,0.482,0.722,1.337,1.124,0.881,1.136,0.898,1.3,1.216
Barbados,0.463,0.315,0.288,1.079,0.466,0.303,0.506,0.546,0.888,0.7,1.13,0.844,0.679,0.316,0.429,1.147,0.677,0.488,0.778,0.418,0.868,1.0048,0.8865999999999999,0.5562000000000001,0.9708,1.1696000000000002,0.7676000000000001,0.7078
"Belarus, Rep. of",1.5,-0.274,0.359,0.706,1.506,1.941,1.979,1.892,0.084,0.931,1.276,0.647,2.362,2.254,1.603,1.461,1.017,1.561,1.212,2.18,2.247,2.201,1.592,2.342,2.689,3.51,1.728,1.922
Belgium,1.2152,-0.25880000000000003,0.8827999999999999,1.0974,1.2197999999999998,1.484,1.336,1.398,1.526,1.089,1.197,1.404,1.883,1.256,1.158,0.233,1.289,1.13,0.463,2.417,1.371,1.882,1.731,2.196,2.081,2.572,1.203,2.807
Belize,0.759,0.21,0.866,0.904,0.422,0.175,0.445,0.733,0.948,0.701,0.849,0.655,0.85,0.579,0.922,0.843,0.724,0.644,0.785,0.697,1.502,1.446,1.342,0.85,1.556,1.716,1.286,1.031
Benin,0.406,0.736,0.557,1.042,0.621,0.449,0.517,0.721,0.936,0.706,1.105,1.035,0.806,0.632,0.95,1.23,0.949,0.595,0.853,0.94,1.111,1.025,1.16,1.056,1.147,1.031,1.522,0.884
Bhutan,0.518,0.307,-0.3,0.825,1.022,0.214,0.72,0.492,0.498,0.476,0.745,0.955,0.978,0.555,1.394,1.202,0.534,0.512,0.742,0.86,1.068,1.487,1.457,1.346,1.329,1.09,1.707,1.523
Bolivia,0.77,0.29,0.825,0.926,0.337,0.403,0.653,1.016,0.641,0.846,0.764,0.935,0.537,0.396,0.658,0.68,1.165,0.831,0.507,0.955,1.533,0.824,0.981,0.562,0.921,1.315,0.738,0.644
Bosnia and Herzegovina,0.286,-0.043,0.112,1.059,0.612,1.525,1.527,1.141,1.088,0.584,0.124,0.594,1.861,1.373,1.379,0.954,1.117,1.756,1.319,1.823,1.813,1.673,1.419,2.275,1.987,1.88,1.598,2.091
Botswana,1.141,-0.319,-0.096,0.857,0.552,-0.718,-0.186,0.359,0.74,-0.133,1.039,-0.505,0.23,0.153,-0.319,0.936,-0.048,0.473,0.77,-0.092,1.546,1.469,0.017,0.734,1.525,0.493,-0.425,-1.305
Brazil,0.799,0.504,0.671,1.234,0.523,0.495,0.746,1.052,0.927,0.768,1.085,0.77,0.969,0.731,0.969,1.112,0.814,1.023,0.922,1.153,1.516,1.457,1.363,1.148,1.517,1.477,1.154,0.926
British Virgin Islands,0.613,0.337,0.459,1.091,0.525,0.192,0.57,0.741,0.843,0.548,0.825,0.76,1.007,0.406,0.621,1.053,0.393,0.61,0.782,0.878,1.065,1.204,0.971,0.703,0.915,1.317,0.956,0.875
Brunei Darussalam,0.471,0.429,0.671,1.296,0.575,0.485,0.602,0.669,0.735,0.673,0.893,0.718,0.743,0.511,0.875,1.012,0.725,0.912,1.195,1.028,1.281,1.74,1.468,1.41,1.624,1.783,1.458,1.446
Bulgaria,0.221,-0.36,-0.336,0.775,0.696,1.184,1.648,0.854,0.181,0.533,0.215,0.571,1.883,1.177,1.291,1.361,0.422,1.678,1.476,1.196,1.438,1.899,0.954,2.192,2.112,2.037,1.629,1.831
Burkina Faso,0.401,0.917,0.621,1.006,0.548,0.537,0.502,1.015,0.986,0.867,1.449,1.162,0.867,0.297,0.942,1.25,1.001,0.492,0.849,0.888,1.111,1.075,1.212,1.156,1.065,1.044,1.624,0.802
Burundi,0.8744,0.05700000000000001,0.8666,0.545,0.6885999999999999,0.6063999999999999,0.459,0.887,1.032,1.122,1.1166,1.0954000000000002,1.242,0.7594000000000001,0.9714,0.3614,0.7108000000000001,0.7074,0.6789999999999999,1.3712,0.8286,1.2704,1.4183999999999999,1.0173999999999999,1.3767999999999998,1.2646000000000002,1.0788,1.5474
Cabo Verde,1.475,1.598,1.654,1.78,0.794,1.039,1.329,1.478,1.569,1.604,1.171,1.356,0.821,1.302,0.772,1.7388,1.372,1.338,1.331,1.083,1.071,1.692,2.0,0.926,1.622,1.9060000000000001,1.765,1.853
Cambodia,0.738,0.357,0.393,1.414,0.409,0.296,0.571,0.836,0.711,0.594,0.781,0.767,0.604,0.43,0.453,1.225,0.424,0.875,1.005,0.614,1.081,1.473,1.095,0.787,1.552,1.401,0.912,0.948
Cameroon,0.28,0.335,0.547,1.082,0.604,0.319,0.198,0.77,0.707,0.779,1.004,0.983,0.626,0.653,1.047,1.181,0.655,0.416,0.707,0.882,1.16,1.213,1.165,1.156,1.45,1.281,1.47,1.044
Canada,0.938,-0.125,0.426,2.47,1.694,1.291,1.421,0.54,1.24,0.485,1.282,2.343,1.333,0.851,0.539,2.915,1.438,2.144,1.182,0.288,1.231,2.373,1.48,0.477,1.311,1.128,2.515,1.268
Cayman Islands,1.355,0.78,1.334,1.265,0.792,0.599,0.773,0.9372,1.2007999999999999,0.8752000000000001,0.987,0.925,1.077,0.884,0.787,0.989,0.675,0.743,0.899,1.106,1.347,1.284,1.257,0.865,1.237,1.278,0.957,0.974
Central African Rep.,0.187,0.047,0.458,1.195,0.502,0.683,0.4,0.745,0.845,0.957,0.983,0.967,0.537,0.682,1.119,1.162,0.763,0.491,0.865,0.697,0.983,1.222,1.224,1.145,1.264,1.14,1.268,1.032
Chad,0.175,0.586,0.485,0.841,0.569,0.281,0.291,0.797,0.838,0.831,1.148,1.368,0.605,0.466,1.236,1.181,0.969,0.553,1.013,0.856,1.294,0.939,1.026,1.527,1.306,1.192,1.146,0.738
Chile,-0.004,0.276,0.716,0.721,0.251,-0.179,0.054,0.14,0.312,0.563,0.275,0.575,-0.219,0.502,0.52,-0.015,0.206,0.699,0.434,0.488,0.848,1.022,0.873,0.538,0.683,0.947,0.877,0.407
