Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Lithuania,1018.2158588593181,791.9515922160227,655.4357485246591,617.5779994221591,556.7341663928408,442.3648047548068,435.40667203136366,363.00022032852274,284.3908457414773,236.8312532742727,234.95899543454544,211.23623466936363,157.67909042307954,148.54419404885226,184.59302351442045,176.24499262318182,157.55346500082953,147.14264631342047,110.349654385,102.9059283208409,138.97187262679546,145.09716079815908,128.84882234129546,118.72844630307954,-64.80512849773368,-95.20541773871082,-125.60570697968797,-156.0059962206724
Luxembourg,173.22715133684093,172.02639018389775,180.1370137035,156.77120912064774,161.71896261614773,180.98903775397727,194.45730250988638,204.38374335431817,168.78314988448864,165.68784699502274,159.943785108,148.7342955841591,122.89402367569318,109.84785594563637,118.31050832588636,115.76626589179546,98.60364634097728,105.12966463446591,97.34212569007954,89.03668321207955,90.84292732198864,88.52414659494319,80.63540666418182,75.00490238868181,70.91287402206217,65.72324379436941,60.53361356667665,55.34398333898571
Malta,308.55151220964774,1472.2278142462728,1379.7824744520228,1222.8053749460796,1118.3809644115454,626.043009289659,763.7896898016363,733.3552838075568,727.8767705770114,678.0214454541364,427.1867315640113,354.13915224985226,286.2500518029659,246.78469270328412,276.3987388857159,320.1525188396932,307.0956050194659,305.0364550503864,260.4395061513864,271.6863013047159,262.15736515621586,235.4516815760909,241.94357950082957,228.00178590179547,13.631528882178827,-28.78981049025606,-71.21114986269095,-113.63248923512583
"Netherlands, The",397.5495461906818,412.36812435045454,451.0698166132954,447.16993520511363,451.46998689443177,482.8576248413637,484.3527700926137,452.66426632147727,370.4625238218182,337.15216985011364,303.36696214431817,279.09530375798863,245.01892179922726,216.02867125513637,237.04889047920457,241.38928252660227,211.82107309728408,213.17218042211363,211.1328558360682,212.95214039046593,255.08497470036363,259.544845237,237.90094969853408,209.17850342604544,160.63706022854967,148.08851731699542,135.53997440544117,122.99143149388692
New Zealand,393.9461388517046,383.84892381352273,409.95848547772727,510.6708533397727,504.2235516297727,554.3546611693182,609.3345282277273,536.209332097841,427.9235083840113,337.7667452252272,301.61500553457955,317.8472164575796,259.9853580084659,273.12609152007957,273.9920891586932,220.88864268823863,185.9468367568409,187.28016590556817,188.81060655514773,180.93233058386363,212.76557770313636,202.04377886667046,192.33269134019318,181.10839888318182,124.56483451127497,108.37364954491568,92.18246457855275,75.99127961219347
Norway,209.1460850939773,207.9677386596591,211.99892032993182,227.08203132168182,234.12114546295453,237.9442588675568,235.86957579542047,204.96062009576136,187.42580000344321,167.57232197256818,138.6943307575341,139.18976503130682,116.61634791401137,102.06201199231818,124.44918607195454,120.60133132406818,105.12163716947727,104.43029046322727,102.00609865730681,101.93203870338635,129.28688342593182,143.36170079254546,122.65576045798865,119.7137444197159,83.4975401668762,77.52997796428099,71.56241576168395,65.59485355908873
"Poland, Rep. of",1657.005369996932,1591.6035123036365,1556.1011238538638,1362.2472656135228,1329.097285722841,1248.0649833261364,1044.1486271442045,952.8464606919318,868.0143821227273,714.7589122904545,588.2523642729545,521.5688683788636,417.25251696875,329.9084767340909,393.6851892635228,363.9860503922727,319.28295191323866,323.02740997954544,316.56075236852274,304.2170805319659,346.90080859854544,373.05577980572724,350.40990525938633,324.24990315895457,-47.18868626160838,-109.61793443151691,-172.0471826014109,-234.47643077131943
Portugal,401.06399937125,375.3779373951704,404.14707267420454,421.70126497911366,466.1296847743182,463.1162789171591,435.77684896249997,435.48129082125,329.18821149036364,288.3766431346591,284.69869460261367,246.2995632089659,216.59410011499997,186.58408182370457,213.7698999165682,183.3876082525,174.55894206489774,187.16281349967048,174.8490431099318,163.49845072270455,212.77464364889772,214.05009783972727,213.41808345146592,186.115880826375,120.30444538289157,107.00173056151107,93.6990157401342,80.3963009187537
Romania,2019.0174655032954,2084.9757070768183,2015.2611306798863,1632.60289153375,1626.2139742736363,1704.832314637841,1709.272883820682,1466.0934327739774,1219.8460781693182,852.7086143394318,641.8751905335228,525.3610121435227,388.4460129651136,323.3901299615909,320.29229775492047,322.3991752479546,284.50698517454543,288.07740170113635,246.74706667636363,246.40226600526137,279.36935545981817,276.23463493640907,247.09363872125002,215.2563073135909,-280.2899281863356,-372.50070899925777,-464.71148981217993,-556.9222706251021
Slovak Rep.,1018.5052439795454,942.3311038011362,950.1581238477273,951.0656118717045,991.2639041010226,939.5433556659092,869.8693805015909,758.5685519330681,602.9372992226137,469.8936180905682,442.2295133617045,408.9673464615909,287.2960914309091,230.39934438398862,244.08142389368183,243.2004380855,198.49001343524998,208.32666045913638,210.67305726870455,196.42316910285228,236.64765740253412,242.78488037242047,219.36424516647728,218.5013864625,-25.340078709617956,-67.63902307406534,-109.93796743851271,-152.23691180294554
"Slovenia, Rep. of",456.3687925920795,478.4461784457954,579.9511467410227,556.4167940225454,500.9897309555682,535.2772569531818,526.8694033882955,412.1602768129545,369.9622684314773,471.6164576610227,443.4125501853409,382.5435060035227,424.5332845390909,265.3749498544318,312.1025891963636,447.0989681789772,426.3135777804204,814.2834323965909,610.2648490038523,392.77453818148865,373.29431733514775,5176.823729218989,2111.0184796842614,466.8371469051932,1386.2829303939507,1438.7364507439197,1491.1899710938742,1543.6434914438287
Spain,414.20062937125,398.2078346560227,464.2584703852272,472.5763472203409,481.03199176204544,540.8418460247727,523.3423822626137,497.4122103864886,413.002203851,372.34372640339774,363.25899494585224,431.72021383810227,353.29372356555683,294.5703495446591,313.26019520853407,326.131813350875,292.3038635004773,362.36730199125,354.7890098980909,353.0585404011023,575.2893374636022,533.9252632445796,415.37094204769323,365.9952420625341,375.9496418871895,372.9837717935443,370.0179016998991,367.0520316062539
Sweden,228.58618083386364,226.99109965318183,225.6392127240909,238.42600974454544,240.11572263454545,238.90076135923863,236.51377034095455,225.1088661547159,190.74171693490908,165.4193493836932,158.8602924112841,147.6100682221818,123.95753024717045,115.69001084686364,153.7174936653182,128.03646197668184,103.08996773120454,102.41572435863637,103.12270257568183,109.7888057784091,112.72900361488637,131.23520429845453,128.46732340490908,131.82633717027272,82.85168223979781,76.25651809876399,69.66135395772835,63.06618981669271
Switzerland,113.31451045576136,115.19237025218182,133.0204148428409,136.48837329796592,140.23397099311364,149.3602855795341,151.1459256832159,136.03290489573862,115.80016177338638,104.21759578419318,99.52409481657955,91.93397449378409,81.61254509417046,69.84792685967045,74.08423255960227,72.92493818411364,62.97418353659091,64.80343255238637,62.538170467375,56.768765097397726,62.26082354695455,65.89373069920454,64.69318208411363,61.253840499443186,44.52245032576138,40.46451183832505,36.40657335088872,32.34863486345239
United Kingdom,389.12097963,364.99563724647726,325.80022393386366,330.67933410193183,328.54238047250004,334.49446919181815,356.7939751442046,342.8063625934432,311.35103069920456,264.39258601751135,249.51011883235225,228.55208364421594,199.5033711378409,193.09139805534093,219.96621854681817,210.0389396091591,182.22028777287503,181.87233547126135,173.4756187268182,158.34031507462498,171.49554347354544,174.7303594251591,163.3085559966818,146.7761488516818,116.75611406265307,106.09040894216741,95.42470382168176,84.7589987011961
United States,695.8471523193182,669.3320316838636,674.8981178570455,670.5589583706818,623.3206033248863,578.2519611057954,536.6263813645454,574.1537896311364,531.8593192382955,521.8355525425,482.51152870977273,442.4005201389773,426.7641806336364,380.56438914511364,379.83297933340907,366.07629480454546,355.0135179465909,339.8229193190909,330.9734926031818,311.9266378498864,310.53249924568183,314.18108495954544,292.8738399352273,271.40309763237497,217.94631831900188,198.44348761887522,178.9406569187413,159.43782621861465
