Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"China, P.R.: Hong Kong",2.369565217391304,2.458823529411765,2.2454545454545456,2.3893805309734515,2.3284671532846715,3.225806451612903,2.950413223140496,2.911764705882353,2.682926829268293,2.6608695652173915,3.1343283582089554,3.4571428571428573,2.870503597122302,2.7583333333333333,2.8839285714285716,2.762962962962963,3.04040404040404,2.675,2.7818181818181817,3.094736842105263,2.936,2.7387387387387387,2.5384615384615383,2.4146341463414633,3.0,2.9384615384615387,2.971014492753623,2.9193548387096775
"China, P.R.: Macao",1.6,1.6,1.4,4.0,2.0,5.8,1.6,2.0,2.4,2.4,3.4,1.8,2.4,1.8,1.8,2.2,1.6,1.8,1.6,1.6,2.4,2.2,2.0,2.2,2.4,3.2,2.4,2.8
"China, P.R.: Mainland",12.0,16.0,17.0,11.0,18.0,24.0,27.0,24.0,16.0,18.0,28.0,30.0,18.0,23.0,24.0,21.0,13.0,22.0,34.0,33.0,31.0,30.0,26.0,20.0,13.0,11.0,12.0,7.0
"China, P.R.: Mainland",1.0,1.0,1.4,1.2,1.0,1.6,1.2,1.0,1.0,1.2,1.2,1.0,1.2,1.0,1.4,1.0,1.0,1.6,2.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.2,1.6
Colombia,2.0,3.0,1.0,2.0,6.0,3.0,6.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,6.0,3.0,3.0,1.0,5.0,4.0,2.0,7.0,2.0,6.0,6.0,11.0,14.0
Colombia,1.4,1.2,1.2,1.0,1.2,1.2,1.0,1.0,1.2,1.2,1.6,1.4,2.0,1.8,2.0,1.0,1.2,1.6,1.8,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.4,1.6
"Comoros, Union of the",1.6,2.0,1.0,1.2,1.0,1.2,1.2,1.4,1.0,1.0,1.2,1.2,1.2,1.2,1.0,1.8,1.2,1.0,1.2,1.0,1.2,1.0,1.4,1.2,2.0,1.0,1.0,1.0
"Congo, Dem. Rep. of the",1.8,1.0,1.0,1.0,1.0,1.4,3.0,1.0,4.0,1.2,1.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,1.2,2.0,4.0,2.0,2.0,1.0,3.0,6.0,1.0,5.0
"Congo, Dem. Rep. of the",1.4,1.2,1.6,1.0,1.4,1.8,1.0,1.0,1.2,1.6,1.6,1.0,1.0,1.6,1.0,1.0,1.4,1.4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.2,1.2
"Congo, Rep. of",1.8,1.0,1.0,1.0,1.0,1.6,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,1.2,2.0,1.0,1.0,1.2,1.0,1.2,1.4,2.0,2.0,1.0,1.0
Cook Islands,1.2,1.0,1.0,1.0,1.0,1.8,1.0,1.2,1.0,1.0,1.0,1.4,1.4,1.2,1.6,1.0,1.4,1.0,1.4,1.0,1.6,1.0,1.4,1.2,1.2,1.6,1.2,1.6
Costa Rica,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.2,2.0,4.0,1.4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.2,1.0,1.0,1.0
Costa Rica,2.369565217391304,2.458823529411765,2.2454545454545456,2.3893805309734515,2.3284671532846715,3.225806451612903,2.950413223140496,2.911764705882353,2.682926829268293,2.6608695652173915,3.1343283582089554,3.4571428571428573,2.870503597122302,2.7583333333333333,2.8839285714285716,2.762962962962963,3.04040404040404,2.675,2.7818181818181817,3.094736842105263,2.936,2.7387387387387387,2.5384615384615383,2.4146341463414633,3.0,2.9384615384615387,2.971014492753623,2.9193548387096775
Côte d'Ivoire,1.4,1.0,1.0,1.0,1.2,2.2,1.2,1.4,1.0,1.0,1.8,1.2,1.0,1.0,1.0,2.0,1.0,1.0,1.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Croatia, Rep. of",1.2,1.0,1.0,1.4,1.0,3.0,1.0,1.4,3.0,1.4,3.0,1.0,2.0,1.2,1.4,3.0,1.2,3.0,1.0,2.0,1.0,1.4,2.0,1.0,1.0,1.0,1.2,1.0
"Croatia, Rep. of",1.6,1.4,1.0,1.4,1.0,1.0,1.0,1.4,1.0,1.6,1.4,2.4,2.0,1.2,1.2,2.0,1.4,1.4,1.6,1.0,1.2,1.6,1.0,1.4,1.2,1.2,1.0,1.4
Cuba,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0,1.2,1.4,1.4,3.0,1.0,2.2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
Cuba,2.0,1.6,1.6,1.4,1.0,2.2,1.8,1.4,2.8,1.4,1.8,1.8,2.6,1.8,1.6,2.6,2.8,1.2,1.4,2.6,2.2,2.6,1.8,1.8,1.8,2.6,1.6,1.8
Cyprus,1.4,1.0,1.0,1.0,1.2,3.0,1.2,1.2,1.0,1.0,1.2,1.0,1.0,1.0,1.4,1.2,1.2,1.4,1.2,1.2,1.0,1.0,1.0,1.0,1.6,1.6,1.0,1.2
Cyprus,2.0,1.4,1.2,1.2,1.2,1.0,1.6,1.2,1.0,1.6,1.8,2.0,1.8,1.8,1.2,1.6,1.4,1.8,2.0,1.2,2.4,1.8,1.4,1.6,1.0,1.2,1.0,1.2
Czech Rep.,1.4,1.0,1.0,1.0,1.0,1.0,1.4,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.2,1.0,1.4,1.0,1.0,1.0,1.0,3.0,2.0
Denmark,1.0,1.0,1.2,1.2,1.0,1.8,1.2,1.0,1.2,1.2,1.0,2.0,1.0,1.0,1.2,1.0,1.6,1.2,2.0,1.2,1.0,1.4,1.0,1.0,1.0,1.0,1.2,1.0
Djibouti,1.0,1.0,1.0,1.2,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.4,1.0,1.2,1.0,1.2,1.0,1.2,1.4,1.2,1.0,1.0,1.0,1.0,1.0
Dominica,2.0,1.2,1.0,1.2,1.0,1.8,1.2,1.0,1.0,1.0,1.6,1.6,1.0,1.4,1.2,1.8,1.0,1.4,1.0,1.8,1.0,1.6,1.0,1.2,1.4,1.0,1.4,1.2
Dominican Rep.,2.0,2.0,1.2,1.0,1.2,2.8,1.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
Dominican Rep.,1.2,1.4,1.2,1.0,1.4,1.6,1.6,1.0,2.2,1.0,1.0,2.0,1.4,2.2,1.8,1.4,2.0,2.0,2.2,2.4,1.0,2.0,2.2,1.4,2.8,1.8,2.2,1.0
Ecuador,1.2,1.2,3.0,1.0,1.2,3.0,2.0,2.0,1.0,1.0,1.6,1.0,1.2,1.0,2.0,2.0,2.0,2.0,4.0,1.2,1.0,2.0,1.0,1.4,2.0,1.0,2.0,5.0
Ecuador,2.0,2.2,1.0,1.8,3.6,3.2,1.6,2.6,1.8,1.2,2.6,1.8,2.0,1.8,2.0,2.6,1.4,1.0,1.6,1.2,1.6,1.8,2.2,1.2,2.2,2.4,1.4,2.6
"Egypt, Arab Rep. of",2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.4,1.4,1.4,1.0,3.0,1.6,1.4,1.4,1.4,3.0,1.0,1.6,1.0,1.2,1.0,1.0,1.0
El Salvador,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.4,4.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.2,4.0,1.0,2.0
"Eritrea, The State of",1.6,1.4,1.4,1.0,1.0,1.8,1.2,1.0,1.0,1.0,1.2,1.2,1.8,1.0,1.2,2.4,1.2,1.6,1.8,1.4,2.4,1.8,1.4,1.6,1.2,1.8,1.4,1.0
"Estonia, Rep. of",1.4,1.0,1.0,1.0,1.2,1.4,1.2,1.4,1.4,1.2,2.0,1.6,1.2,1.2,1.8,2.0,1.2,1.0,1.2,1.2,1.2,1.4,1.2,1.0,1.4,1.8,1.6,1.0
"Eswatini, Kingdom of",1.0,1.2,1.4,1.2,1.0,1.0,1.0,1.2,1.2,1.2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.2,1.4,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Eswatini, Kingdom of",1.4,1.4,1.8,1.0,1.4,1.4,2.0,2.0,1.2,1.0,1.4,1.8,1.0,1.2,1.4,2.0,1.6,1.8,1.0,2.6,2.0,1.0,2.0,1.0,1.4,1.2,1.4,1.2
"Ethiopia, The Federal Dem. Rep. of",1.0,2.0,3.0,1.0,7.0,4.0,3.0,1.0,2.0,1.6,5.0,7.0,2.0,4.0,1.0,3.0,2.0,1.6,1.0,1.2,2.0,2.0,1.2,2.0,2.0,4.0,2.0,2.0
"Ethiopia, The Federal Dem. Rep. of",1.6,1.4,1.6,1.4,1.6,1.0,1.6,2.2,1.4,1.6,1.8,1.6,2.2,1.0,1.4,1.8,2.4,1.4,1.8,2.4,1.4,1.4,1.0,1.6,2.0,1.2,1.0,1.6
"Fiji, Rep. of",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,2.0,1.2,2.0,4.0,1.0,2.0,1.0,1.2,3.0,1.2,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
Finland,1.2,1.4,1.2,1.0,1.4,1.6,1.6,1.0,2.2,1.0,1.0,2.0,1.4,2.2,1.8,1.4,2.0,2.0,2.2,2.4,1.0,2.0,2.2,1.4,2.8,1.8,2.2,1.0
France,1.0,3.0,3.0,2.0,8.0,7.0,7.0,5.0,6.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,7.0,3.0,1.0,3.0,7.0,9.0,7.0,9.0,6.0
France,1.0,1.0,1.0,1.2,1.0,1.0,1.2,1.0,1.0,1.2,1.0,1.2,1.0,1.0,1.0,1.4,1.2,1.2,1.4,1.2,1.4,1.8,1.0,1.4,1.2,1.0,1.2,1.0
French Polynesia,1.6,1.6,1.0,2.0,1.6,1.2,1.6,1.0,1.4,1.6,1.8,2.0,1.0,1.6,1.6,1.0,1.8,1.0,1.6,1.0,1.6,1.0,1.0,2.0,1.0,1.2,2.2,1.4
Gabon,1.4,2.2,1.4,1.2,1.4,1.0,1.6,1.2,1.4,1.0,2.0,1.4,1.2,1.6,1.0,2.0,1.2,1.0,1.4,1.2,3.4,1.8,1.6,1.2,2.0,1.6,1.2,1.4
"Gambia, The",1.4,1.0,1.0,1.4,1.0,1.2,1.0,1.0,1.0,1.0,1.2,1.4,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.2,1.0,1.0
Georgia,1.0,1.4,3.0,1.0,1.0,1.0,1.0,1.2,1.2,2.0,1.0,1.0,1.8,1.2,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Germany,2.0,1.0,2.0,1.0,4.0,1.6,1.0,4.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,1.4,1.0,3.0,2.0,3.0,1.0,3.0,4.0
Germany Dem Rep (former),2.369565217391304,2.458823529411765,2.2454545454545456,2.3893805309734515,2.3284671532846715,3.225806451612903,2.950413223140496,2.911764705882353,2.682926829268293,2.6608695652173915,3.1343283582089554,3.4571428571428573,2.870503597122302,2.7583333333333333,2.8839285714285716,2.762962962962963,3.04040404040404,2.675,2.7818181818181817,3.094736842105263,2.936,2.7387387387387387,2.5384615384615383,2.4146341463414633,3.0,2.9384615384615387,2.971014492753623,2.9193548387096775
Germany Fed Rep (former),2.369565217391304,2.458823529411765,2.2454545454545456,2.3893805309734515,2.3284671532846715,3.225806451612903,2.950413223140496,2.911764705882353,2.682926829268293,2.6608695652173915,3.1343283582089554,3.4571428571428573,2.870503597122302,2.7583333333333333,2.8839285714285716,2.762962962962963,3.04040404040404,2.675,2.7818181818181817,3.094736842105263,2.936,2.7387387387387387,2.5384615384615383,2.4146341463414633,3.0,2.9384615384615387,2.971014492753623,2.9193548387096775
