Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Cabo Verde,6.072727272727263,5.9672727272727,5.861818181818165,5.756363636363631,5.650909090909067,5.5454545454545325,5.439999999999998,5.3345454545454345,5.2290909090909,5.1236363636363365,5.018181818181802,4.912727272727267,4.807272727272704,4.701818181818169,4.596363636363634,4.490909090909071,4.385454545454536,4.279999999999973,4.2,4.2,4.0,3.9,3.8,3.5,3.2,3.3,3.2,3.7
Cambodia,6.634545454545446,6.592121212121199,6.549696969696967,6.507272727272721,6.464848484848474,6.422424242424242,6.3799999999999955,6.337575757575749,6.2951515151515025,6.25272727272727,6.210303030303024,6.167878787878777,6.125454545454545,6.083030303030299,6.040606060606052,5.998181818181806,5.955757575757573,5.913333333333327,5.9,5.7,5.7,6.0,5.8,5.5,5.6,5.6,5.5,5.5
Cambodia,5.194545454545448,5.152121212121202,5.109696969696969,5.067272727272723,5.0248484848484765,4.98242424242423,4.939999999999998,4.897575757575751,4.855151515151505,4.8127272727272725,4.770303030303026,4.72787878787878,4.685454545454533,4.643030303030301,4.600606060606054,4.558181818181808,4.515757575757576,4.473333333333329,4.4,4.2,4.1,4.9,4.4,4.0,4.2,4.2,4.0,4.0
Cameroon,4.736363636363638,4.75030303030303,4.7642424242424255,4.778181818181817,4.792121212121213,4.806060606060605,4.82,4.833939393939392,4.847878787878788,4.861818181818183,4.875757575757575,4.8896969696969705,4.9036363636363625,4.917575757575758,4.93151515151515,4.945454545454545,4.959393939393937,4.973333333333333,5.1,4.9,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1
Cameroon,3.583636363636373,3.7030303030303173,3.822424242424262,3.9418181818182063,4.061212121212151,4.180606060606095,4.300000000000011,4.419393939393956,4.5387878787879,4.658181818181845,4.777575757575789,4.896969696969734,5.01636363636365,5.135757575757594,5.255151515151539,5.374545454545483,5.493939393939428,5.613333333333344,5.5,5.9,6.1,6.1,6.1,6.5,6.7,6.6,6.5,6.7
Canada,2.7818181818181804,2.7781818181818165,2.7745454545454535,2.7709090909090897,2.7672727272727258,2.763636363636363,2.759999999999999,2.756363636363635,2.752727272727271,2.749090909090908,2.7454545454545443,2.7418181818181804,2.7381818181818174,2.7345454545454535,2.7309090909090896,2.7272727272727266,2.7236363636363627,2.719999999999999,2.8,2.7,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.7
Canada,2.1781818181818196,2.1818181818181825,2.1854545454545464,2.1890909090909103,2.192727272727274,2.196363636363637,2.200000000000001,2.203636363636365,2.207272727272728,2.210909090909092,2.2145454545454557,2.2181818181818187,2.2218181818181826,2.2254545454545465,2.2290909090909103,2.2327272727272733,2.236363636363637,2.240000000000001,2.4,2.3,2.2,2.0,2.2,2.3,2.3,2.3,2.3,2.3
Central African Rep.,5.620000000000001,5.626666666666667,5.633333333333335,5.640000000000001,5.6466666666666665,5.653333333333334,5.66,5.666666666666668,5.673333333333334,5.68,5.686666666666667,5.693333333333333,5.700000000000001,5.706666666666667,5.713333333333333,5.720000000000001,5.726666666666667,5.733333333333334,5.8,5.7,5.7,5.8,5.8,5.7,5.8,5.8,5.8,5.8
Central African Rep.,8.152727272727283,8.1739393939394,8.195151515151522,8.216363636363646,8.237575757575762,8.258787878787885,8.280000000000008,8.301212121212131,8.322424242424248,8.34363636363637,8.364848484848494,8.38606060606061,8.407272727272733,8.428484848484857,8.44969696969698,8.470909090909096,8.49212121212122,8.513333333333343,8.6,8.5,8.5,8.6,8.7,8.6,8.7,8.7,8.7,8.7
Chad,7.063636363636363,7.056363636363635,7.049090909090907,7.041818181818181,7.034545454545453,7.027272727272726,7.02,7.012727272727272,7.005454545454544,6.998181818181816,6.99090909090909,6.9836363636363625,6.976363636363635,6.969090909090909,6.961818181818181,6.954545454545453,6.9472727272727255,6.9399999999999995,7.0,6.9,6.9,6.8,7.0,6.9,6.9,6.8,6.9,6.9
Chad,7.374545454545453,7.378787878787877,7.383030303030303,7.387272727272727,7.391515151515151,7.395757575757575,7.399999999999999,7.4042424242424225,7.408484848484848,7.412727272727272,7.416969696969696,7.42121212121212,7.425454545454544,7.42969696969697,7.433939393939394,7.438181818181818,7.4424242424242415,7.446666666666665,7.6,7.5,7.3,7.2,7.8,7.4,7.4,7.4,7.5,7.6
Chile,1.4454545454545524,1.487878787878799,1.5303030303030312,1.5727272727272776,1.615151515151524,1.6575757575757706,1.7000000000000028,1.7424242424242493,1.7848484848484958,1.827272727272728,1.8696969696969745,1.912121212121221,1.9545454545454675,1.9969696969696997,2.039393939393946,2.0818181818181927,2.124242424242425,2.1666666666666714,2.3,2.3,2.4,2.3,2.4,2.3,2.3,1.9,2.9,2.9
Chile,-1.8727272727273316,-1.693939393939445,-1.5151515151515582,-1.3363636363636715,-1.1575757575757848,-0.9787878787878981,-0.8000000000000114,-0.6212121212121815,-0.4424242424242948,-0.2636363636364081,-0.08484848484852137,0.09393939393936535,0.27272727272725206,0.45151515151513877,0.6303030303029686,0.8090909090908553,0.9878787878787421,1.1666666666666288,1.6,1.7,2.1,1.8,1.9,1.9,1.8,1.1,3.8,3.8
